 , ,BI3214,BI3224,BI3234,BI3244,BI3254,BI3264,BI3274,BI3284,BI3294,BI3413,BI3423,BI3433,BI3444,BI3613,CH3214,CH3224,CH3234,CH3243,CH3253,CH3613,DS3613,EC3214,EC3224,EC3234,EC3243,EC3253,EC3284,EC3613,ECS456,HS3213,HS3223,HS3234,HS3244,HS3253,HS3264,HS3274,HS3613,MT3214,MT3224,MT3234,MT3244,MT3254,MT3264,MT3613,PH3214,PH3224,PH3234,PH3244,PH3253,PH3264,PH3273,PH3613,CD
 , ,[4],[4],[4],[4],[4],[4],[4],[4],[4],[3],[3],[3],[4],[3],[4],[4],[4],[3],[3],[3],[3],[4],[4],[4],[3],[3],[4],[3],[3],[3],[3],[4],[4],[3],[4],[4],[3],[4],[4],[4],[4],[4],[4],[3],[4],[4],[4],[4],[3],[4],[3],[3],
264,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, ,Y,Y,Y, , , , ,Y,23
265,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y, ,Y, , , , ,Y, , , , ,23
266,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y,Y,Y, ,Y, , , , , , , , , ,23
267,Test, ,Y, , ,Y, , , , , ,Y,Y,Y, , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
268,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y, ,Y,23
269,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
270,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
271,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y, ,Y,Y, ,Y,22
272,Test,Y,Y,Y, , , , , ,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , ,25
273,Test, ,Y, , ,Y, , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , ,23
274,Test,Y, ,Y, , , , , , , ,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , ,22
275,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
276,Test,Y,Y,Y, , , , , , , ,Y, ,Y, , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, , , , , , , , , , , , , , , ,25
277,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
278,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y, , ,23
279,Test, ,Y,Y, , ,Y, , , , , , ,Y,Y, , , , , , , , , , , , , , , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , ,25
280,Test, ,Y, , ,Y, , , , ,Y, ,Y,Y,Y, , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , ,24
281,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18
282,Test, ,Y, ,Y,Y, ,Y, , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24
283,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
284,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , ,Y, ,Y, , ,Y,Y, , , , , , , , ,24
285,Test, , , , , , , , , ,Y, , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21
286,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
287,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
288,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,Y,Y,22
289,Test,Y,Y,Y, , ,Y, ,Y, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
290,Test, , , ,Y,Y,Y, , , , ,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
291,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
292,Test, , , , , , , , , , ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,Y,Y, , , , , , , , , ,23
293,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , ,Y, , , , , , , , , , ,Y, , , , , , , , , , ,25
294,Test, , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, ,Y, ,Y,Y, , , , , , , , , ,23
295,Test,Y, ,Y,Y,Y, , , ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
296,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
297,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y,Y, , ,Y, ,Y,23
298,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
299,Test, , ,Y, , ,Y, , , , ,Y,Y, , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , ,Y, , , ,Y, , , , , ,25
300,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
301,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
302,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, ,Y, ,Y,Y,Y, , , , , , , , ,22
303,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y, , , , , , , , , , , , ,Y,Y,Y, , ,Y, , ,23
304,Test,Y,Y,Y, ,Y, , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
305,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , ,Y,Y,Y,Y, , ,Y, ,23
306,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y,Y, ,Y,Y, , ,23
307,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,Y,Y,Y, , , , , , , , ,22
308,Test,Y,Y,Y, ,Y, , , , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
309,Test, ,Y,Y, , , ,Y, ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , ,22
310,Test,Y, ,Y,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, , , , , , , , , , , , , , , ,22
311,Test, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, ,Y, , ,Y,Y, , , , , , , , ,22
312,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y, , ,Y,Y, , , ,Y,Y, , , , , , , , ,22
313,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,22
314,Test, , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,Y, ,23
315,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
316,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
317,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , ,Y,22
318,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , , ,Y,Y,Y,Y, , , , ,24
319,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , ,Y,Y,Y,Y, , , ,Y,23
320,Test, ,Y, ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24
321,Test, ,Y,Y,Y, ,Y, , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
322,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y, ,Y,23
323,Test, , , , , ,Y, , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y, ,Y, , , , , , , , , ,24
324,Test,Y, ,Y, , ,Y, , , , ,Y,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , ,25
325,Test, , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y, , ,24
326,Test, ,Y, , , , , , , , ,Y, , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
327,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , ,Y,22
328,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y, ,Y,23
329,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
330,Test, , , ,Y, ,Y, , , , , , , , ,Y,Y,Y, , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , ,23
331,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
332,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y,Y,Y, , , ,Y,23
333,Test, ,Y, , , ,Y, , , , ,Y,Y,Y,Y, , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,25
334,Test, , , , , , , , , ,Y, , , , ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24
335,Test, , ,Y, , , , ,Y, , ,Y, , ,Y, , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , ,Y, , , , , , , ,21
336,Test, , , , , , , , , , ,Y, , , ,Y,Y,Y,Y,Y, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , ,24
337,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , , , , , , , , ,24
338,Test,Y,Y, , ,Y, , ,Y, , , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24
339,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
340,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , ,Y,22
341,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , ,22
342,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
343,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y,Y,Y,Y, ,Y, , ,24
344,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
345,Test, ,Y, , ,Y, , , , , ,Y,Y,Y, , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,22
346,Test, , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , ,Y, , , , , , , , , , , , , ,Y, ,Y,Y, ,Y, , ,23
347,Test, , , , , ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y, ,Y, , , , , , , , , ,23
348,Test,Y,Y,Y, , ,Y, , , , ,Y,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
349,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
350,Test,Y,Y, , ,Y, , ,Y, ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
351,Test, ,Y, , , ,Y, , ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , ,24
352,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
353,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,Y,Y,22
354,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
355,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
356,Test, , , , , , , , , ,Y, , , , ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24
357,Test, , ,Y, ,Y,Y, , , , ,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
358,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
359,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,Y,Y,22
360,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
361,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y, , ,Y,Y,Y, , , , , , , ,23
362,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y, ,Y,23
363,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
364,Test, , , , , , , , , , , ,Y, , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , ,25
365,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
366,Test, , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , ,Y, , , , ,Y, , , , , , , , , , , , , , , ,25
367,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
368,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y, ,Y,Y, , ,19
369,Test, , , , ,Y, , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,Y,Y, , , , , , , , , ,24
